Removed Pin From Net: NetName=P_GND Pin=Q3-3
Removed Member From Class: ClassName=Supply Member=C2
Removed Member From Class: ClassName=Supply Member=C4
Removed Member From Class: ClassName=Supply Member=C6
Removed Member From Class: ClassName=Supply Member=C11
Removed Member From Class: ClassName=Supply Member=C13
Removed Member From Class: ClassName=Supply Member=C16
Removed Member From Class: ClassName=Supply Member=C18
Removed Member From Class: ClassName=Supply Member=C21
Removed Member From Class: ClassName=Supply Member=C23
Removed Member From Class: ClassName=Supply Member=C25
Removed Member From Class: ClassName=Supply Member=C27
Removed Member From Class: ClassName=Supply Member=C30
Removed Member From Class: ClassName=Supply Member=C31
Removed Member From Class: ClassName=Supply Member=C32
Removed Member From Class: ClassName=Supply Member=C34
Removed Member From Class: ClassName=Supply Member=C36
Removed Member From Class: ClassName=Supply Member=C37
Removed Member From Class: ClassName=Power Converter Member=C59
Removed Member From Class: ClassName=Power Converter Member=D25
Removed Member From Class: ClassName=Supply Member=IC4
Removed Member From Class: ClassName=Supply Member=L1
Removed Member From Class: ClassName=Supply Member=R9
Removed Member From Class: ClassName=Power Converter Member=R69
Removed Member From Class: ClassName=Power Converter Member=R70
Removed Member From Class: ClassName=Power Converter Member=R71
Removed Member From Class: ClassName=Supply Member=TP20
Removed Member From Class: ClassName=Supply Member=TP21
Change Component Comment : Designator=R2 Old Comment=Shunt 0.5m New Comment=Shunt 1 mOhm
Change Component Designator: OldDesignator=C5 NewDesignator=C8
Change Component Designator: OldDesignator=C6 NewDesignator=C9
Change Component Designator: OldDesignator=C7 NewDesignator=C10
Change Component Designator: OldDesignator=C8 NewDesignator=C11
Change Component Designator: OldDesignator=C9 NewDesignator=C12
Change Component Designator: OldDesignator=C10 NewDesignator=C13
Change Component Designator: OldDesignator=C11 NewDesignator=C14
Change Component Designator: OldDesignator=C12 NewDesignator=C15
Change Component Designator: OldDesignator=C13 NewDesignator=C16
Change Component Designator: OldDesignator=C14 NewDesignator=C17
Change Component Designator: OldDesignator=C15 NewDesignator=C18
Change Component Designator: OldDesignator=C16 NewDesignator=C19
Change Component Designator: OldDesignator=C17 NewDesignator=C20
Change Component Designator: OldDesignator=C18 NewDesignator=C21
Change Component Designator: OldDesignator=C19 NewDesignator=C22
Change Component Designator: OldDesignator=C20 NewDesignator=C23
Change Component Designator: OldDesignator=C21 NewDesignator=C24
Change Component Designator: OldDesignator=C22 NewDesignator=C25
Change Component Designator: OldDesignator=C23 NewDesignator=C26
Change Component Designator: OldDesignator=C24 NewDesignator=C27
Change Component Designator: OldDesignator=C25 NewDesignator=C28
Change Component Designator: OldDesignator=C26 NewDesignator=C29
Change Component Designator: OldDesignator=C27 NewDesignator=C30
Change Component Designator: OldDesignator=C28 NewDesignator=C31
Change Component Designator: OldDesignator=C29 NewDesignator=C32
Change Component Designator: OldDesignator=C30 NewDesignator=C33
Change Component Designator: OldDesignator=C31 NewDesignator=C34
Change Component Designator: OldDesignator=C32 NewDesignator=C35
Change Component Designator: OldDesignator=C33 NewDesignator=C36
Change Component Designator: OldDesignator=C34 NewDesignator=C37
Change Component Designator: OldDesignator=C35 NewDesignator=C38
Change Component Designator: OldDesignator=C36 NewDesignator=C39
Change Component Designator: OldDesignator=C37 NewDesignator=C40
Change Component Designator: OldDesignator=C38 NewDesignator=C41
Change Component Designator: OldDesignator=C39 NewDesignator=C42
Change Component Designator: OldDesignator=C40 NewDesignator=C43
Change Component Designator: OldDesignator=C41 NewDesignator=C44
Change Component Designator: OldDesignator=C42 NewDesignator=C45
Change Component Designator: OldDesignator=C43 NewDesignator=C46
Change Component Designator: OldDesignator=C44 NewDesignator=C47
Change Component Designator: OldDesignator=C45 NewDesignator=C48
Change Component Designator: OldDesignator=C46 NewDesignator=C49
Change Component Designator: OldDesignator=C47 NewDesignator=C50
Change Component Designator: OldDesignator=C48 NewDesignator=C51
Change Component Designator: OldDesignator=C49 NewDesignator=C52
Change Component Designator: OldDesignator=C50 NewDesignator=C53
Change Component Designator: OldDesignator=C51 NewDesignator=C54
Change Component Designator: OldDesignator=C52 NewDesignator=C55
Change Component Designator: OldDesignator=C53 NewDesignator=C56
Change Component Designator: OldDesignator=C54 NewDesignator=C57
Change Component Designator: OldDesignator=C55 NewDesignator=C58
Change Component Designator: OldDesignator=C56 NewDesignator=C59
